headline,cluster
ConocoPhillips CEO Says Sees Current Weak Global LNG Prices as Short-term Phenomenon,3
"Walter Investment Management Q3 EPS $(0.17) vs $(0.01) Est, Revenue $297.3 vs $325.4M Est",1
"4 Stocks To Watch For December 30, 2019",4
HCI Group Announces Was Not Able to Reach Agreement to Acquire Prepared Insurance Company,8
ENGlobal Finalizes Credit Facility with PNC,8
"Top 4 Mid-Cap Stocks In The Communication Equipment Industry With The Highest Cash (SATS, HRS, CIEN, JDSU)",0
Kellogg Reaffirms FY17 Outlook,3
Duncan-Williams Reiterates Strong Buy on Ensco,5
Deutsche Bank CFO Says We Aim From Year 2022 To Be Able To Pay A Dividend,5
UPDATE: Cantor Fitzgerald Initiates Acadia Healthcare at Buy on Favorable Industry Trends,5
"The Big Picture for the Week of March 13, 2011",3
10 Stocks Moving In Monday's Pre-Market Session,4
Tarena Increases Buyback From $30M To $70M,5
"Credit Suisse Upgrades Esterline Technologies from Neutral to Outperform, Raises PT from $69 to $81",5
WPCS Issues Release Urging Holders to Vote for Sale of Seattle Operations,2
"Photoshop Finish: Adobe Reports Q1 Earnings, Revenue Beat",1
"Penn National Gaming Reports Q4 EPS $0.05 vs. Est. $(0.14), Rev. $742.9M vs. Est. $744M",1
5 Potential iPad Killers,2
Earnings Roundup,3
Skyline Reports Q1 EPS $(0.82) vs $(0.45) Prior Year; Revenue $50.3M vs $54.64M Prior Year,1
"TTM Tech Sees Q3 Adj. EPS $0.29-$0.35 vs $0.26 Est., Sales $620M-$660M vs $652.9M Est.",1
"Ultratech Reports Received Multiple System, Follow-On Order for Fan-Out Wafer-Level Packaging Apps, No Terms Disclosed",8
Pioneer Energy Sees $53M In Early Termination Rev. Through FY15 And Q1 2016,1
"Stocks Which Set New 52-Week Low Yesterday, October 22nd",0
Stocks That Hit 52-Week Lows On Thursday,9
"10 Notable Stocks Trading Ex-Dividend Wednesday, September 21",4
Stocks Hitting 52-Week Lows,9
MGIC Investment Reports Q2 EPS $-0.75 vs $-0.54 Est; Revenues $321.1M vs $298.61M Est,1
Stocks That Hit 52-Week Lows On Tuesday,9
"#PreMarket Primer: Thursday, February 20: Facebook Makes Big Purchase With WhatsApp",5
"JP Morgan Maintains Neutral on Lexington Realty, Raises Price Target to $11",5
68 Biggest Movers From Yesterday,7
Auxillium Spikes Lower,2
"Options Brief: MetLife, Inc. (MET)",2
CPI Aerostructures Announces Purchase Order from Goodrich for Aerospace Structural Assemblies,8
"Hedge Fund 13-F Updates: Berkshire, Greenlight, Paulson & Co., Appaloosa and More!",0
Stocks to Watch for Tuesday 8/02/2011: Fresh 52-Week Highs and Lows,4
DNB Downgrades Transocean Inc. to Hold,5
"Morgan Stanley: As Generic Competitors Falter, Mylan Is Worth A Shot",5
BOJ's Kuroda: No gap in views between the government and the central bank that a weak yen was positive for Japan via ForexLive,3
"Notable Option Activity For January 27: AMCC, CLF, AMD, TRIP, GRPN, VALE",3
UPDATE: J.P. Morgan Upgrades Commercial Vehicle Group as Management Changes Bring a Fresh View to Strategy,5
"UPDATE: Credit Suisse Reiterates Outperform Rating, Raises PT on Precision Castparts",5
Starbucks CFO Says Shipping 50M K-Cups in November,1
"The Market In 5 Minutes: Industry-Changing M&A In Media, Aerospace, And Financial Services",3
Benzinga's Top Downgrades,5
Morning Market Movers,3
"Hawaiian Air Reports Oct. RPMs 7.8%, ASMs 3.9%, Load Factor Up 3.2 Points",1
Moody's Cuts Ratings of 10 Banks - Analyst Blog,3
Stocks That Hit 52-Week Highs On Friday,6
You Don't Have To Be Einstein To Like EMC .....(EMC)...(NTAP),2
"Alternative Ideas For Intel's Quarter (INTC, AMD, ARMH, MIPS, CEVA)",2
Benzinga's Top Downgrades,5
"Benzinga Pro Mid-Day Price Check For Regional ETFs: Europe (VGK) Up 0.8%, Japan (EWJ) Up 0.5%, Australia (EWA) Up 0.5%, US (SPY) Up 0.2%, Canada (EWC) Flat, Russia (RSX) Down 0.1%, Mexico (EWW) Down 0.4%, China ETF (FXI) Down 0.8%",5
Base Metals Fall; Copper Slumps 1.1%,3
China Recycling Energy Shares Up 18% For Session,3
"Stocks To Watch For May 14 (JCP, BBI, CA, NVDA, JWN)",4
"CIBC Downgrades Cott Corporation to Sector Perform, Lowers PT to $9.00",5
Luxfer Names Heather Harding CFO,0
International Game Technology shares are trading lower. Not seeing any news to justify the price action.,3
22 Stocks Moving In Tuesday's Pre-Market Session,4
"Benzinga's Biggest Movers For The Week Of May 14, 2018",5
"Two Boring ETFs for All Investors (XLB, XLI)",0
Stifel Nicolaus Maintains Invesco Mortgage Capital (IVR) Hold Rating,5
"Thursday's Put/Call Ratio Leaders (FHN, FLIR, INFN, WLL, STI)",0
Chinese Internet Stocks Move Following Alibaba Group Holding Ltd Open,3
A Peek Into The Markets: U.S. Stock Futures Edge Lower On Election Day,3
"UBS Downgrades Caterpillar to Sell, Lowers Price Target to $125",5
Diplomat Pharmacy Spikes Higher Following Walgreens/Rite-Aid Halt,2
Mid-Morning Market Update: Markets Open Higher; Clorox Earnings Top Street View,3
10 Stocks That Rallied Three Days On No News,4
"Shell Boosted by Volumes, Cost Cuts - Analyst Blog",3
Adaptive Biotechnologies Files For 8M Share Common Stock Offering By Selling Shareholders,0
Wunderlich Securities Initiates Coverage On EOG Resources With A Buy,2
25 Stocks Moving In Wednesday's Pre-Market Session,4
UPDATE: Stifel Nicolaus Downgrades Wells Fargo & Company to Hold on Net Interest Margin Compression,5
A Peek Into The Market Before The Trading Starts,3
November Comps for Specialty Retail and Department Stores to Decline by 4.5%,3
"Kingold Jewelry Q2 EPS $0.20 Up From $0.12 YoY, Sales $678.8M Up From $475.891M YoY",1
UPDATE: Globus Medical Sees Q4 Sales ~$142.6M vs $139M Est.,1
UPDATE: Credit Suisse Upgrades China Telecom to Outperform,5
30 Stocks Moving in Friday's Pre-Market Session,4
Alibaba's Looking For Black Swan Opportunities,3
Navios Maritime Acquisition Corporation Announces Acquisition and Delivery of a VLCC,8
NASDAQ Slides 1.2%; Manitowoc Shares Dip Following Cautious Outlook,3
"The CSX-Hunter Harrison Story, Pondering The Upside Potential",5
Calls Purchased on Northern Dynasty Minerals (NAK),3
Affymetrix Acquires Assets of Eureka Genomics Corporation for $15M in Cash,5
The Market In 5 Minutes: Netflix And IBM Get Big Tech Earnings Off On A Rough Start,3
Dover Corporation Sees FY2013 EPS $5.56-5.71 vs $5.22 Est,1
33 Healthcare Stocks Moving In Today's Pre-Market Session,4
Luxfer Raises Quarterly Dividend From $0.10 To $0.125,8
13-F Alert: Baupost Group Adds AIG Shares and Microsoft Call Options,8
13G Filing from Federated Investors on Textura Shows Very Slightly Increased Stake from 9.29% as of Dec. 31st to 9.39%,8
J.P. Morgan Slashes Price Target for RPM International Inc. (RPM),5
Yandex Spiking Higher on Heavy Volume; Currently at $23.29,2
Option Alert: SWEEP (BUY) - BABA Sept $82.5 Call - 501 @ 3.7 in 82 orders. 632 traded. OI: 112,8
Citi: Key Takeaways from Family Dollar Management Meeting,2
"Goldman Sachs Maintains Buy, $135 Target on AvalonBay",5
"UPDATE: SunTrust's Peck Highlights Five Key Attributes Shaping Yahoo's CEO Candidates: Public CEO Experience, Familiarity with Yahoo, Media Background, Technology Experience, Turnaround Executions",0
"Benzinga's Top Upgrades, Downgrades For December 13, 2018",5
"Perrigo Announces Patent Litigation Settlement For The Generic Version Of Sernivo Spray, 0.05%; Terms Not Disclosed",2
"Egalet Reports Q4 EPS $(0.87) vs $(0.92) Est., Sales $6.1M vs $5.1M Est.",1
XL GroUp plc Reports Q2 EPS of $1.02 Which May Not Compare $0.83 Est; Revenue of $1.83B Which May Not Compare $1.46B Est,1
Inogen Reports FDA Clearance of Home Oxygen Concentrator,2
Macquarie Initiates Coverage On Oil/Gas Industry,5
"Infinera Reports Q2 Adj. EPS $(0.15) vs $(0.16) Est., Sales $176.8M vs $181M Est.",1
Antitrust Regulator Set to Approve Abbott's Purchase of St. Jude,2
From Earlier: Kona Grill Announces Stock Repurchase Plan,0
"Sanctions, Stimuli And COVID-19: Today's Oil News",2
Hooker Furniture Corporation Reports Q3 EPS of $0.30 vs $0.28 Est; Revenue of $63.20M vs $62.20M Est,1
Grainger To Report Q4 Earnings: What's In Store?,1
5 Top Picks For January,3
What To Make Of Longtime Kroger CFO's Retirement,0
"PFSweb Q1 EPS $(0.04), Inline, Sales $78.421M Beat $75.23M Estimate",1
Deutsche Bank Says Expects To Issue Up to 687.5M New Shares as Part of Capital Increase,5
UPDATE: D.A. Davidson Reiterates On Hanesbrands Following Encouraging Beat And Raise,5
Infographic: Fitbit's Path To IPO,3
Autodesk Signs Agreement to Acquire Structural Fabrication and Detailing Technology from Graitec; Terms Undisclosed,8
The RBA made its case for a lower Australian dollar more forcefully today via ForexLive,5
10 Stocks You Should Be Watching Today,4
E-Commerce Dangdang Up 2% (DANG),3
ReWalk Robotics Reports Received First Tranche Of $5M As Part Of $20M Strategic Investment From Timwell,8
Detroit Edison Going Green - Analyst Blog,3
Amerinet Signs New Agreement with Teleflex Incorporated for Arrow Peripherally Inserted Central Catheters (TFX),2
"Universal Truckload Services, Inc. Commences Self Tender Offer To Purchase Up To 1M shares, Range Of Price $21.50-$23.50",8
Standpoint Research Downgrades DIRECTV to Hold,5
"HC Wainwright & Co. Maintains Buy on Seattle Genetics, Raises Price Target to $175",5
"Top 4 Stocks In The Specialty Retail, Other Industry With The Highest Revenue",0
Mid-Afternoon Market Update: Crude Oil Drops 5%; Alpha and Omega Semi Shares Gain On Earnings Beat,3
Mid-Day Market Update: Restoration Hardware Surges On Earnings; Endocyte Shares Drop,3
TransCanada Issues Comment on Market Activity: 'Firmly Believes in Current Corporate Form...',8
Mid-Afternoon Market Update: The Dow Turns Green; Chipotle Continues to Rise,3
"Rio Tinto Signs A Pact With Chinalco (RTP, ACH, BHP)",8
25 Stocks Moving In Friday's Mid-Day Session,4
Bank Of England To British Banks: Prepare For The Worst,5
Mid-Afternoon Market Update: GameStop Drops After Mixed Q2 Report; Pure Storage Shares Surge,3
Wesco International Reports Q4 EPS $1.12 vs $0.98 Est; Revenues 1.59B vs $1.53B Est,1
The Right International Dividend ETF Right Now,0
Stocks That Hit 52-Week Highs On Monday,6
"Alibaba, Wendy's And More 'Fast Money Halftime Report' Picks From Dec. 2",3
80 Biggest Movers From Yesterday,7
Splunk Inc. Reports Q3 EPS of $(0.01) vs $(0.02) Est; Revenue of $52.0M vs $46.77M Est,1
"Southwest Bancorp, Inc. Reports Q4 EPS of $0.34",1
Fast Money Traders Weigh In On Caterpillar And United Rentals,3
"Stocks Which Set New 52-Week High Yesterday, July 24th:",0
Benzinga's Volume Movers,5
UPDATE: Plug Power Posts Q1 Loss,3
Alcoa: It's All About the Aluminum Outlook,3
UPDATE: Square Says Card Reader Available in More Than 1000 AT&T Stores -Retuers,2
Why Bill Ackman is Going To Be a Train Conductor For Halloween,8
Top 4 NASDAQ Stocks In The Catalog & Mail Order Houses Industry With The Highest Revenue Estimates,0
Will Cyber Monday Turn the Economy Around?,3
Gap Trading Down 2.18% After Hours To $29.56/Share After Old Navy President Stefan Larsson Leaves Company To Become Ralph Lauren CEO,3
Nasdaq Collaborates With Microsoft To Expand Use Of Equity Market Data,0
Shares of several Brazilian stocks are trading higher after China said it is willing to seek trade and investment deals with the country.,3
Watch These 8 Huge Call Purchases In Tuesday Trade,3
Waiting on the Fed 09-21-2010,3
Dun & Bradstreet Shares Volatile as Fitch Says Some Reports Say D&B No Longer Pursuing Sale,3
10 Stocks Moving In Friday's Pre-Market Session,4
Shares of several consumer metals and mining companies are trading higher as commodity prices gain amid falling copper and nickel inventories and recovering demand in China.,3
German Finance Ministry Spokesperson Says No One in Eurogroup Expects Greek Aid Issues to be Resolved By April 24 Meeting; Says Aid Payout to Greece in April is Unrealistic -Reuters,8
UPDATE: Barclays Capital Initiates Mallinckrodt at Equal-Weight on Differentiated Platform Value,5
Susquehanna Downgrades Taylor Morrison Home to Neutral,5
"Benzinga's Top Upgrades, Downgrades For March 14, 2017",5
"Notable Insider Buys In The Past Week: General Electric, Symantec And More",0
32 Stocks Moving In Wednesday's Pre-Market Session,4
"Stocks To Watch For January 8, 2014",4
"Miller Tabak Maintains Buy on Domino's Pizza Inc, Raises PT to $52.00",5
"BZ NOTE On Akorn Price Action Wed., Seeking Alpha Post: Post Mentions 8-K Filing Which Was From Mon. Morning; Shares Of Akorn Did Not React Sharply Mon., However Are Down 32% This Week",5
"Stifel Financial Q1 EPS $1.32 Beats $1.21 Estimate, Sales $770.42M Beat $745.21M Estimate",1
"Goldman Sachs Initiates Coverage On Magellan Midstream with Buy Rating, Announces $69 Price Target",5
JP Morgan Upgrades Alcoa To Overweight,5
Spero Therapeutics Announces Positive Feedback from FDA Pre-Phase 3 Meeting for Oral SPR994 and Submission of IND for SPR994 in cUTI,2
"Vocera Sees Q2 EPS $(0.08) to $(0.03) vs $0.02 Est, Sales $36M to $38M vs $37.9M Est",1
First Community Q1 EPS $0.60 Beats $0.52 Estimate,1
Are The Coal Industry's Days Numbered?,3
"Alibaba Q4 617M Mobile MAUs, 552M Annual Active Consumers",3
Hearing National Securities Upgraded Bluerock Residential To Buy,2
Northern Trust Q3 EPS $1.69 Beats $1.63 Estimate,1
"I.D. Systems Reports Q2 EPS $(0.12) vs. Est. $(0.01), Rev. $8.9M vs. Est. $10.57M",1
BazaarVoice Shares Plunge ~16% Following Headlines the Cos. PowerReviews Deal Could Be Block by US,3
Option Alert: WLL Sep16 8.0 Calls Sweep: 7590 @ ASK $0.55: 8085 traded vs 5895 OI: $7.82 Ref,8
"Wells Fargo Maintains Equal-Weight on AGCO, Lowers Price Target to $54",5
Kiwi shorts are coming out of the woodwork via ForexLive,3
"Parker Hannifin's Aerospace Partners Announces Partnership with Rolls-Royce on Trent XWB-97 Engine, Expecting Sales of $2.2B Over Life of Program",8
Option Alert: Zogenix Jan 2017 $2.5 Call; 1000 Contract Trade at Ask @$0.40; Now $1.40,8
"Mizuho Initiates Coverage On Domino's Pizza with Buy Rating, Announces $250.00 Price Target",5
"Cowen Annual Healthcare Conference Continues Today; Presenters Include Regulus, Eli Lilly, Oculus, DexCom, Illumina, Allergan, Kite Pharma, Pfizer, and bluebird bio",0
44 Biggest Movers From Friday,7
"Goldman Sachs Downgrades AutoZone from CL-Buy to Buy, Maintains PT at $415",5
Deutsche Bank Wins Fund Services Mandate From TIAA-CREF,5
CORRECTION: Wolfe Research Downgrades CenterPoint Energy to Peer Perform,5
"Benzinga's Top Upgrades, Downgrades For December 19, 2016",5
"Time Warner Cable, Boingo Reports Launch of Passpoint Roaming Coast to Coast",3
"Fifth Street Preliminary Q3 EPS $0.24-$0.26, Est $0.27",1
"Earnings Preview: Rent-A-Center & How To Trade It (RCII, AAN)",3
Bank of Ireland Shares Volatile Following Deutsche Bank's Mid-Day Upgrade,5
38 Stocks Moving In Wednesday's Pre-Market Session,4
First Study of Diazepam Nasal Spray in People with Epilepsy Shows Feasibility of Dosing During Seizure,2
"Stocks Which Set New 52-Week High Yesterday, August 7th",0
Amtech Systems Reports Q3 Loss of $0.12/Share vs Loss of $0.14/Share Est.,1
"Stocks Which Set New 52-Week Low Yesterday, Tues., Dec. 20, 2018",0
"The Daily Biotech Pulse: EyePoint Licenses Eye Inflammation Drug, Insys Strategic Review Of Opioid Assets, Neos Offering",2
Stratasys Reports Partnership with Dassault Systemes for Improvement of Performance of Additively Manufactured Production Parts,8
Top 4 Small-Cap Stocks In The Residential Construction Industry With The Highest ROE,0
"Benzinga Pro Mid-Day Price Check For Major Averages: Russell Down 1.3%, Dow Jones Down 1.3%, S&P 500 Down 1.4%, Nasdaq Down 1.7%",5
Benzinga's Volume Movers,5
Dollar Tree Option Alert: Fri $85 Puts at the Ask: 1000 @ $1.4 vs 1616 OI; Earnings 11/20 Before Open [est] Ref=$84.92,8
"Barclays Downgrades Tesaro to Equal-Weight, Raises Price Target to $75",5
KeyBanc Upgrades Waste Management to Overweight,5
"Harsco Signs 10 Year, $60M Mill Services Contract in Egypt",8
"Wednesday's Mid-Day Movers: PhotoMedex, Career Education And More",7
30 Stocks Moving In Wednesday's Pre-Market Session,4
"Will Diamonds Be Forever With This ETF? (EZA, CNDA, GLD)",3
Stocks That Hit 52-Week Highs On Friday,6
"William Blair Growth Stock Conference Continues Today, Presenters Include: Zendesk, CURO, NetApp, Guidewire Software, Six Flags, 8 x 8, Arista Networks, llumina, Mastercard, and Visa",0
Ross Stores Earnings Preview: Rising Expectations for the First Quarter,3
Is Schlumberger Ready to Run?,0
Pre-Market Gainers 8/8,3
"INSYS Therapeutics Offers Response To Unsealing Of Previously Filed Qui Tam Complaints, Recaps Transformation",2
Earnings Scheduled For May 2,3
"BMO Capital Maintains Outperform on Baxter International, Lowers Price Target to $76",5
J.P. Morgan Reiterates Overweight on CenturyLink,5
Petrobras Says More Than 20 Companies Are Interested In Buying Its Refineries,0
Mid-Morning Market Update: Markets Open Higher; Darden Restaurants Profit Tops Estimates,3
"Benzinga's Top Upgrades, Downgrades For January 30, 2018",5
Churchill Downs shares trading higher following strong Q1 earnings and sales.,3
"Stocks Which Set New 52-Week Low Yesterday, September 25th",0
Microchip Raises Q3 Outlook,3
10 Stocks Moving In Friday's Pre-Market Session,4
Analyst Explains Why AK Steel Was The Best Turnaround Story Of 2016,3
Kofax Appoints James A. Urry to Its Board of Directors,0
"Infinity Property and Casualty Reports Q2 EPS $0.34 Does Not Compare To $0.92 Est., Sales $339.1M vs $379M Est.",1
"Buckingham Research Maintains Buy on United Airlines Holdings, Raises Price Target to $120",5
"B. Riley Caris Upgraded Palo Alto Networks, Inc. to Buy, Raised PT to $68.00",5
The Medicines Company Settles Angiomax Patent Litigation With Sun,2
"Wolfe Research Downgrades BorgWarner to Peer Perform, Lowers Price Target to $46",5
Earnings Preview: Alkermes - Analyst Blog,3
Bank of America shares are trading higher after BMO Capital upgraded the stock from Market Perform to Outperform and announced a $37 price target.,5
Goldman Sachs Maintains Neutral Rating on KAR,5
Siga Bid for Reargument in Pharmathene Case Denied by Judge,8
Searching for Bargains in Transportation Stocks,0
Pool's Earnings Preview,3
KBR Gets Pact with US Navy,8
Benzinga's Top Upgrades,5
Benzinga's Top Initiations,5
Grocers All Trading Higher,3
"Benzinga Market Primer: Tuesday, March 26",5
WiLAN Enters Royalty License Agreement with Kith Consumer Products,2
"Earnings Scheduled For November 6, 2017",3
All Three Members of Ambulance Crew Exposed to Ebola Patient Test Negative for Ebola -Reuters,2
"Benzinga's M&A Chatter for Tuesday October 9, 2012",5
Taco Bell Announces Cool Ranch Doritos Locos Tacos Release Date,5
Wunderlich Securities Maintains Hold Rating and $7 PT on Centerstate Banks,5
"UPDATE: CVS Posts Better-Than-Expected Q2 Results, Shares Rise",3
"L-3 Communications Raises Qtr. Dividend from $0.50 to $0.55/Share, Announces Added $1.5B to Buyback Plan",8
Amazon To Acquire Whole Foods For $42/Share,3
Lamar Interested In Clear Channel Billboard Assets Worth Roughly $450M-Reuters,5
The Market In 5 Minutes: OPEC's Deal And Gary Johnson's Moment,3
Stocks Hitting 52-Week Lows,9
Vetr Top Raters Love SanDisk,5
"Stocks Which Set New 52-Week High Yesterday, August 2nd",0
"Pareto Securities Maintains Hold on Noble Corporation, Lowers PT to $41.00",5
"Breeze-Eastern Reports Q4 Adj. EPS $0.49, Sales $31M",1
Report: GrubHub Refunds Restaurant After Excessive Billing,3
Stocks That Hit 52-Week Lows On Friday,9
61 Biggest Movers From Friday,7
"Tuesday Morning Reports Reduced Q4 Loss, 4% Growth In Sales",1
9 Energy Stocks Moving In Wednesday's Pre-Market Session,4
Rent-A-Center Increases Quarterly Cash Dividend from $0.21 to $0.23,8
JetBlue Airways December Traffic up 3.7%,1
"Paulson & Co. Raises Stakes Stakes in Family Dollar, Aetna, Kodiak Oil & Gas, Vodafone, Reduced Stakes in Leap Wireless, Realogy, InterOil",2
Stocks That Hit 52-Week Highs On Wednesday,6
Winners And Losers From Nomura CIO Spending Survey,3
Tenneco Spiking Lower on Heavy Volume; Currently at $31.99,2
"Rio Tinto Reports Record Profit, Plans $5B Buyback",8
"The Russell 2000 Has Underwhelmed This Year, But Here's One Way To Play A Comeback",5
Calls Purchased on Danaher Corporation (DHR),8
Performance Sports Shares Trading on NYSE Up ~13%; Stock Trading on Toronto is Up ~18%,3
Goldman Sachs Upgrades Baker Hughes Incorporated to Buy,5
30 Stocks Moving In Friday's Mid-Day Session,4
"Benzinga's M&A Chatter for Thursday November 6, 2014",5
Will Avon's (AVP) Strategies Help Find a Way Out of the Maze?,3
"Earnings Scheduled For May 9 (BID, CHDN, TSN, SF, PETS, AONE, SRE, AES, SYY, TVI, RST)",3
"Wedbush Projects Apple To Dominate 5G 'Super Cycle,' Disney To Beat Netflix",3
Apogee Names Joseph F. Puishys CEO and President,0
"Morgan Stanley Maintains Equal-Weight on Aflac, Raises Price Target to $40",5
"Teekay Tankers Earlier Reported Q1 EPS $(0.08) Missed $(0.07) Estimate, Sales $168.465M Beat $91.63M Estimate",1
NuVasive Announces $100M Share Buyback,8
48 Biggest Movers From Yesterday,7
PowerShares Small Cap Sector ETFs Hit the Tape,0
Hearing Dillard's Is The 'Extreme Long' Idea To Be Published By Mox Reports Today,2
"10 Stocks To Watch For November 29, 2018",4
WSJ Publishes 'Trump to Meet Metal Workers as Aides Ready Tariff Rollout' $,8
Top 4 Small-Cap Stocks In The Communication Equipment Industry With The Highest EPS,0
"Stifel Nicolaus Maintains Buy on Perrigo Company, Raises PT to $165.00",5
"Barrington Research Reiterates Outperform on TiVo Inc., Raises PT to $16.00",5
Gas Natural Inc. Receives Positive Outcome with Montana PSC Ruling,2
"I.D. Systems, Inc. Reports Q1 EPS of $(0.15) vs $(0.03) Est; Revenue of $8.0M vs $10.09M Est",1
Santander Consumer shares are trading higher after the company reported better-than-expected Q4 EPS results.,3
Watching Uranium Stocks As Hearing Saudi Arabia Planning To Issue A Multi-Billion-Dollar Tender In 2020 To Construct The Nations First 2 Nuclear Power Reactors,3
"Citigroup Maintains Buy on Encana, Lowers Price Target to $9",5
8 Biggest Price Target Changes For Thursday,5
"Barclays Maintains Dollar Tree at Equal-weight, Lowers PT from $96 to $48",5
NuVasive (NUVA) at 52-Week High: What's Driving the Stock?,0
New York & Company Shares Up 18.0488% As Brick and Mortar Retailers Continue To Outperform; Wednesday Co. Reported Q3 Top and Bottom Line Beat With Positive Comp Sales,3
"Citigroup Maintains Buy on Cognizant Tech Solns, Lowers Price Target to $69",5
Aegerion Pharmaceuticals Announces Resolution Of Warning Letter for JUXTAPID (lomitapide) Capsules,2
46 Biggest Movers From Yesterday,7
5 Industrials Stocks Moving In Tuesday's Pre-Market Session,4
"Oppenheimer Maintains Acuity Brands at Perform, Raises PT from $52 to $64",5
"Alcoa's Downstream Business Is Worth $8-$11 Per Share According To Morgan Stanley, Says Aerospace EBITDA Should Rise 9% CAGR btwn 2015-2019",8
Domtar Welcomes Investment By Schlumberger in CelluForce,0
"Wells Fargo Sends International Speedway, Speedway Motorsports To The Pit",5
Scandinavia Is Looking Good,3
Option Alert: Molina May $60 Call; 2500 Contract Trade above Ask @$1.20; Now $58.36,8
UPDATE: Domino's Confrence Call Ends,3
"Benzinga's Top Upgrades, Downgrades For December 5, 2019",5
60 Stocks Moving In Tuesday's Mid-Day Session,4
ServiceMagic Names Chris Terrill as Chief Executive Officer (IACI),0
Hillenbrand shares are trading lower after the company purchased Milacron Holdings for $2 billion in cash.,3
Centrus Energy Reports Q3 EPS ($6.05) Vs Prior $55.51,1
Gold And Gold Miners Give Up 2014 Gains,3
"Detwiler Fenton Bullish On Darden, Expects Performance Across Banners To Remain Strong In Q4, Expects Traffic To be Resilient In Lieu Of Cost Cutting Measures",2
"Jefferies & Company Maintains Abercrombie & Fitch at Buy, Lowers PT from $60 to $50",5
"Benzinga Pro Morning Price Check For Regional ETFs: Brazil (EWZ) Up 1.7%, Russia (RSX) Up 1.3%, Japan (EWJ) Up 1.2%, Mexico (EWW) Up 0.3%, India (INDA) Up 0.2%, Europe (VGK) Up 0.1%, Australia (EWA) Up 0.1%, US (SPY) Up 0.1%",5
"Top Narrow Based Indexes For July 28 (AFFX, HTM, STBUY)",0
"Stifel Nicolaus Upgrades Norfolk Southern to Buy, Announces $189 Price Target",5
"Arrowhead Pharmaceuticals shares are trading higher after Cantor Fitzgerald upgraded the stock from Neutral to Overweight and announced a price target of $60 per share. UPDATE: Shares have since reversed, now lower.",5
"ETFs To Watch August 4, 2011",0
"UBS Initiates Coverage On General Dynamics with Neutral Rating, Announces $210 Price Target",5
Dollar General Corporation Reports Q3 EPS of $0.76 vs $0.80 Est; Revenue of $4.72B vs $4.75B Est,1
3 Legitimate Catalysts Driving The Illegitimate Rally In Shipping Stocks,0
UPDATE: Stifel Reiterates on Peabody Energy as Australian Mine Issues Force 4Q13 Warning,5
Notable Put Options Activity in Bank of New York Mellon Corporation,5
SolarCity Completes Private Placement of $185M,8
Mid-Morning Market Update: Markets Mostly Flat; BlackBerry Results Beat Estimates,3
President Obama Says Extremely Low Potential for Ebola Outbreak in US,2
30 Stocks Moving In Thursday's Mid-Day Session,4
Must Watch Stocks for Today,4
Horizon Pharma Announces USPTO Issuance of an Additional Notice of Allowance With Claims Covering VIMOVO Delayed Release Tablets,2
"Earnings Scheduled For July 18, 2013",3
"Top 4 Stocks In The Air Services, Other Industry With The Highest ROE (AIRM, AAWW, BRS, ASR)",0
"Stifel Maintains Buy on Magellan Midstream, Lowers Price Target to $56",5
Jefferies Reiterates Hold On Eaton Vance (EV),5
"Symantec Says Company ""Under Attack"" By Shareholders -Reuters (SYMC)",2
Barclays Downgrades Forum Energy Technologies to Equal-Weight,5
Varian Acknowledges Receipt of Competing Bid by Sirtex from CDH Investments,3
"Telecom Italia Says Began Negotiations With Open Fiber Related To Strategic Options, Received Added Non-Binding Offer For Persidera Unit",8
Stocks That Hit 52-Week Lows On Thursday,9
"Jefferies Assumes Xenon Pharmaceuticals at Buy, Raises Price Target to $23",5
"FBR Capital Initiates Coverage On JCP, ARO, URBN, LULU, JWN, KSS, CHS, AEO, M, CWTR, ANN, ANF",0
Targacept Files $200M Mixed-Securities Shelf Registration,8
"Evercore Partners Initiates Coverage on Independent Bank Group at Overweight, Announces $33.00 PT",5
"Drybulk Stocks Trading Higher as Global Hunter Upgraded Star Bulk, Baltic Trading to Buy, Eagle Shipping, Genco to Neutral",0
Hearing Fed's Kaplan Says Favors Taking No Fed Action In First Couple Quarters,8
Expedia Loses French Commercial Court Ruling,5
"UPDATE: President of China's Boyalife (Hong Kong), Ltd. Acquires 20.3% Stake in Cesca Therapeutics",8
"Northland Securities Initiates Coverage on Clearfield at Outperform, Announces $17.50 PT",5
Donald Trump Tweets: Rand Paul is a friend of mine but he is such a negative force when it comes to fixing healthcare. Graham-Cassidy Bill is GREAT! Ends Ocare!,5
"FireEye Reports Q2 EPS loss $0.41 Vs Est Loss $0.48, Sales $147.2 Vs Est $143.12M",1
"Benzinga's Top Upgrades, Downgrades For August 16, 2018",5
"Earnings Scheduled For October 28, 2013",3
74 Biggest Movers From Yesterday,7
Shares of several industrial companies are trading higher as markets rebound following Monday's selloff. US President Trump on Monday suggested the US is considering a payroll tax cut to relieve the negative economic effects of the coronavirus.,3
"Twin Disc Reports Q1 EPS $(0.24) vs $(0.29) Est., Sales $35.8M vs $38.1M Est.",1
Wells Fargo Upgrades Targa Resources to Outperform,5
"10 Stocks To Watch For September 27, 2018",4
"Stephens Downgrades Atlas Air Worldwide Holdings from Overweight to Equal-weight, Lowers PT from $67 to $50",5
National Instruments Shares Rise $2.02 After-Hours; Robert Sluymet Mentioned the Stock on CNBC's Fast Money,8
"Citigroup Maintains Buy on Avery Dennison, Raises Price Target to $132",5
